make;fuel-type;aspiration;body-style;drive-wheels;engine-location;num-of-cylinders
alfa-romero;gas;std;convertible;rwd;front;four
alfa-romero;gas;std;convertible;rwd;front;four
alfa-romero;gas;std;hatchback;rwd;front;six
audi;gas;std;sedan;fwd;front;four
audi;gas;std;sedan;4wd;front;five
audi;gas;std;sedan;fwd;front;five
audi;gas;std;sedan;fwd;front;five
audi;gas;std;wagon;fwd;front;five
audi;gas;turbo;sedan;fwd;front;five
bmw;gas;std;sedan;rwd;front;four
bmw;gas;std;sedan;rwd;front;four
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
chevrolet;gas;std;hatchback;fwd;front;three
chevrolet;gas;std;hatchback;fwd;front;four
chevrolet;gas;std;sedan;fwd;front;four
dodge;gas;std;hatchback;fwd;front;four
dodge;gas;std;hatchback;fwd;front;four
dodge;gas;turbo;hatchback;fwd;front;four
dodge;gas;std;hatchback;fwd;front;four
dodge;gas;std;sedan;fwd;front;four
dodge;gas;std;sedan;fwd;front;four
dodge;gas;turbo;sedan;fwd;front;four
dodge;gas;std;wagon;fwd;front;four
dodge;gas;turbo;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;sedan;fwd;front;four
honda;gas;std;wagon;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;sedan;fwd;front;four
honda;gas;std;sedan;fwd;front;four
honda;gas;std;sedan;fwd;front;four
honda;gas;std;sedan;fwd;front;four
isuzu;gas;std;sedan;rwd;front;four
isuzu;gas;std;hatchback;rwd;front;four
jaguar;gas;std;sedan;rwd;front;six
jaguar;gas;std;sedan;rwd;front;six
jaguar;gas;std;sedan;rwd;front;twelve
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;sedan;fwd;front;four
mazda;gas;std;sedan;fwd;front;four
mazda;gas;std;hatchback;rwd;front;two
mazda;gas;std;hatchback;rwd;front;two
mazda;gas;std;hatchback;rwd;front;two
mazda;gas;std;hatchback;rwd;front;two
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;sedan;fwd;front;four
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;sedan;fwd;front;four
mazda;diesel;std;sedan;fwd;front;four
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;sedan;rwd;front;four
mazda;diesel;std;sedan;rwd;front;four
mercedes-benz;diesel;turbo;sedan;rwd;front;five
mercedes-benz;diesel;turbo;wagon;rwd;front;five
mercedes-benz;diesel;turbo;hardtop;rwd;front;five
mercedes-benz;diesel;turbo;sedan;rwd;front;five
mercedes-benz;gas;std;sedan;rwd;front;eight
mercedes-benz;gas;std;convertible;rwd;front;eight
mercedes-benz;gas;std;sedan;rwd;front;eight
